"Sanction Counts, 2013-14"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",301,825,0,28
"Amistad Academy District","=""2790013""",1287,549,"*",41
"Andover School District","=""0010011""",0,"*",0,0
"Ansonia School District","=""""",277,240,14,0
"Ansonia School District","=""0020011""",277,240,14,0
"Area Cooperative Educational Services","=""2440014""",220,324,0,27
"Ashford School District","=""0030011""",13,"*",0,"*"
"Avon School District","=""""",64,34,"*",0
"Avon School District","=""0040011""",64,34,"*",0
"Barkhamsted School District","=""0050011""",6,"*",0,"*"
"Berlin School District","=""0070011""",198,44,0,0
"Bethany School District","=""0080011""","*","*",0,0
"Bethel School District","=""0090011""",375,18,6,"*"
"Bloomfield School District","=""0110011""",374,239,20,9
"Bolton School District","=""0120011""",40,9,0,0
"Bozrah School District","=""""",6,"*",0,"*"
"Bozrah School District","=""0130011""",6,"*",0,"*"
"Branford School District","=""0140011""",332,127,"*",0
"Bridgeport Achievement First District","=""2850013""",1148,367,"*",44
"Bridgeport School District","=""0150011""",4214,4783,54,45
"Bristol School District","=""0170011""",1214,566,15,40
"Brookfield School District","=""0180011""",72,40,0,"*"
"Brooklyn School District","=""0190011""",103,16,0,9
"Canaan School District","=""0210011""",0,"*",0,"*"
"Canterbury School District","=""0220011""",24,6,0,0
"Canton School District","=""0230011""",16,6,0,0
"Capitol Region Education Council","=""2410014""",1122,284,7,17
"Chaplin School District","=""0240011""",0,"*",0,0
"Cheshire School District","=""""",168,72,0,17
"Cheshire School District","=""0250011""",168,72,0,17
"Chester School District","=""0260011""","*",0,0,0
"Clinton School District","=""""",131,53,"*","*"
"Clinton School District","=""0270011""",131,53,"*","*"
"Colchester School District","=""""",204,75,6,"*"
"Colchester School District","=""0280011""",204,75,6,"*"
"Colebrook School District","=""0290011""","*","*",0,"*"
"Columbia School District","=""0300011""",7,0,0,0
"Common Ground High School District","=""2680013""",13,12,0,0
"Connecticut Technical High School System","=""9000016""",2189,772,78,"*"
"Cooperative Educational Services","=""2430014""",14,78,0,6
"Cornwall School District","=""0310011""",0,0,0,0
"Coventry School District","=""0320011""",141,31,0,"*"
"Cromwell School District","=""0330011""",274,51,0,"*"
"Danbury School District","=""0340011""",1734,548,"*","*"
"Darien School District","=""0350011""",54,35,"*",0
"Deep River School District","=""0360011""","*","*",0,0
"Derby School District","=""0370011""",212,171,8,10
"East Granby School District","=""0400011""",38,13,0,"*"
"East Hampton School District","=""0420011""",78,26,0,0
"East Hartford School District","=""0430011""",2374,1383,18,61
"East Haven School District","=""0440011""",330,211,"*",0
"East Lyme School District","=""""",90,42,0,7
"East Lyme School District","=""0450011""",90,42,0,7
"East Windsor School District","=""0470011""",198,100,7,18
"Eastford School District","=""0390011""",6,"*",0,0
"Easton School District","=""0460011""",25,"*",0,"*"
"Education Connection","=""2420014""",17,50,0,0
"Ellington School District","=""""",154,53,"*","*"
"Ellington School District","=""0480011""",154,53,"*","*"
"Elm City College Preparatory School District","=""2890013""",365,254,"*",16
"Enfield School District","=""""",789,327,25,11
"Enfield School District","=""0490011""",789,327,25,11
"Essex School District","=""0500011""","*","*",0,0
"Explorations District","=""2720013""",10,28,0,0
"Fairfield School District","=""""",297,40,7,"*"
"Fairfield School District","=""0510011""",297,40,7,"*"
"Farmington School District","=""0520011""",66,36,"*",8
"Franklin School District","=""0530011""",11,0,0,0
"Glastonbury School District","=""0540011""",160,56,"*",0
"Granby School District","=""0560011""",63,14,"*",7
"Greenwich School District","=""0570011""",126,72,"*","*"
"Griswold School District","=""0580011""",260,131,"*",0
"Groton School District","=""0590011""",479,325,11,13
"Guilford School District","=""0600011""",102,67,8,"*"
"Hamden School District","=""""",881,538,10,19
"Hamden School District","=""0620011""",881,538,10,19
"Hampton School District","=""0630011""",0,0,0,"*"
"Hartford School District","=""0640011""",3968,5861,92,59
"Hartland School District","=""0650011""","*",0,0,7
"Hebron School District","=""0670011""","*","*",0,0
"Highville Charter School District","=""2860013""",12,17,0,0
"Integrated Day Charter School District","=""2640013""",16,16,0,0
"Interdistrict School for Arts and Comm District","=""2650013""",26,33,"*",0
"Jumoke Academy District","=""2610013""",88,58,0,"*"
"Killingly School District","=""""",538,73,"*",9
"Killingly School District","=""0690011""",538,73,"*",9
"Learn","=""2450014""",143,72,"*","*"
"Lebanon School District","=""0710011""",19,0,"*","*"
"Ledyard School District","=""0720011""",134,54,"*",0
"Lisbon School District","=""0730011""","*",0,0,0
"Litchfield School District","=""0740011""",48,12,6,"*"
"Madison School District","=""0760011""",75,19,0,"*"
"Manchester School District","=""""",1073,467,"*","*"
"Manchester School District","=""0770011""",1073,467,"*","*"
"Mansfield School District","=""""",15,12,0,"*"
"Mansfield School District","=""0780011""",15,12,0,"*"
"Marlborough School District","=""0790011""",7,0,0,0
"Meriden School District","=""0800011""",1432,854,11,16
"Middletown School District","=""0830011""",377,279,13,28
"Milford School District","=""0840011""",520,210,17,0
"Monroe School District","=""0850011""",46,32,"*",0
"Montville School District","=""""",128,72,"*",10
"Montville School District","=""0860011""",128,72,"*",10
"Naugatuck School District","=""0880011""",512,367,8,"*"
"New Beginnings Inc., Family Academy District","=""2800013""",79,115,0,12
"New Britain School District","=""""",4145,2127,45,36
"New Britain School District","=""0890011""",4145,2127,45,36
"New Canaan School District","=""0900011""",24,8,0,0
"New Fairfield School District","=""0910011""",181,36,"*","*"
"New Hartford School District","=""0920011""",10,"*",0,"*"
"New Haven School District","=""0930011""",735,1958,58,25
"New London School District","=""0950011""",1270,425,7,71
"New Milford School District","=""0960011""",731,104,"*","*"
"Newington School District","=""0940011""",600,92,"*",6
"Newtown School District","=""0970011""",144,29,0,0
"North Branford School District","=""0990011""",235,75,"*",0
"North Canaan School District","=""1000011""",9,"*",0,"*"
"North Haven School District","=""""",113,72,"*","*"
"North Haven School District","=""1010011""",113,72,"*","*"
"North Stonington School District","=""1020011""",42,0,"*",0
"Norwalk School District","=""1030011""",928,357,33,"*"
"Norwich Free Academy District","=""9010022""",639,275,17,0
"Norwich School District","=""""",272,209,"*","*"
"Norwich School District","=""1040011""",272,209,"*","*"
"Odyssey Community School District","=""2630013""",20,13,0,0
"Old Saybrook School District","=""1060011""",27,28,0,0
"Orange School District","=""1070011""",17,"*",0,"*"
"Oxford School District","=""1080011""",25,26,"*","*"
"Park City Prep Charter School District","=""2830013""",12,50,0,0
"Plainfield School District","=""1090011""",294,140,"*",9
"Plainville School District","=""1100011""",151,28,0,0
"Plymouth School District","=""""",57,46,0,"*"
"Plymouth School District","=""1110011""",57,46,0,"*"
"Pomfret School District","=""1120011""","*","*","*",0
"Portland School District","=""1130011""",83,19,"*",0
"Preston School District","=""1140011""",14,0,0,0
"Putnam School District","=""1160011""",149,57,"*","*"
"Redding School District","=""1170011""",29,"*",0,0
"Regional School District 01","=""2010012""",53,16,0,0
"Regional School District 04","=""2040012""",49,14,"*",0
"Regional School District 05","=""2050012""",65,38,0,0
"Regional School District 06","=""2060012""",73,24,"*","*"
"Regional School District 07","=""2070012""",75,51,"*","*"
"Regional School District 08","=""2080012""",149,58,0,0
"Regional School District 09","=""2090012""","*",14,0,0
"Regional School District 10","=""""",131,37,8,"*"
"Regional School District 10","=""2100012""",131,37,8,"*"
"Regional School District 11","=""2110012""",40,36,0,0
"Regional School District 12","=""2120012""",37,15,"*",0
"Regional School District 13","=""2130012""",31,8,0,"*"
"Regional School District 14","=""2140012""",41,31,0,0
"Regional School District 15","=""2150012""",179,57,"*",0
"Regional School District 16","=""2160012""",171,80,"*","*"
"Regional School District 17","=""2170012""",133,11,0,0
"Regional School District 18","=""""",26,10,"*","*"
"Regional School District 18","=""2180012""",26,10,"*","*"
"Regional School District 19","=""""",86,50,"*","*"
"Regional School District 19","=""2190012""",86,50,"*","*"
"Ridgefield School District","=""1180011""",64,8,"*","*"
"Rocky Hill School District","=""1190011""",53,22,"*",0
"Salem School District","=""1210011""",8,"*",0,"*"
"Salisbury School District","=""1220011""",8,"*",0,0
"Scotland School District","=""1230011""",14,9,0,"*"
"Seymour School District","=""1240011""",403,113,"*","*"
"Sharon School District","=""1250011""","*",0,0,"*"
"Shelton School District","=""1260011""",514,126,"*","*"
"Sherman School District","=""1270011""","*",0,0,0
"Side By Side Charter School District","=""2700013""","*",13,0,0
"Simsbury School District","=""1280011""",102,15,0,0
"Somers School District","=""1290011""",88,28,0,"*"
"South Windsor School District","=""1320011""",191,96,6,11
"Southington School District","=""""",258,84,"*","*"
"Southington School District","=""1310011""",258,84,"*","*"
"Sprague School District","=""1330011""",46,12,"*","*"
"Stafford School District","=""1340011""",165,46,"*","*"
"Stamford Academy District","=""2820013""",58,41,0,0
"Stamford School District","=""1350011""",170,504,34,"*"
"Sterling School District","=""""",50,24,0,6
"Sterling School District","=""1360011""",50,24,0,6
"Stonington School District","=""""",286,33,"*","*"
"Stonington School District","=""1370011""",286,33,"*","*"
"Stratford School District","=""""",713,136,0,23
"Stratford School District","=""1380011""",713,136,0,23
"Suffield School District","=""1390011""",144,33,"*","*"
"The Bridge Academy District","=""2690013""",32,48,8,"*"
"The Gilbert School District","=""9020022""",283,101,0,0
"Thomaston School District","=""1400011""",62,24,"*",0
"Thompson School District","=""1410011""",54,63,0,10
"Tolland School District","=""1420011""",124,34,"*","*"
"Torrington School District","=""""",571,271,20,24
"Torrington School District","=""1430011""",571,271,20,24
"Trailblazers Academy District","=""2780013""",9,17,0,0
"Trumbull School District","=""1440011""",101,59,"*","*"
"Unified School District #2","=""""",55,127,0,0
"Unified School District #2","=""3470015""",55,127,0,0
"Vernon School District","=""1460011""",622,275,"*",15
"Voluntown School District","=""1470011""","*",0,0,0
"Wallingford School District","=""1480011""",577,186,0,24
"Waterbury School District","=""1510011""",7709,5994,27,66
"Waterford School District","=""1520011""",306,44,"*","*"
"Watertown School District","=""""",415,242,11,6
"Watertown School District","=""1530011""",415,242,11,6
"West Hartford School District","=""""",603,203,8,6
"West Hartford School District","=""1550011""",603,203,8,6
"West Haven School District","=""""",595,545,11,58
"West Haven School District","=""1560011""",595,545,11,58
"Westbrook School District","=""""",52,8,0,0
"Westbrook School District","=""1540011""",52,8,0,0
"Weston School District","=""1570011""",40,12,"*",0
"Westport School District","=""1580011""",106,26,"*",13
"Wethersfield School District","=""""",194,47,"*",0
"Wethersfield School District","=""1590011""",194,47,"*",0
"Willington School District","=""1600011""",23,"*","*","*"
"Wilton School District","=""1610011""",33,14,0,"*"
"Winchester School District","=""1620011""",14,17,0,0
"Windham School District","=""""",1114,1047,34,20
"Windham School District","=""1630011""",1114,1047,34,20
"Windsor Locks School District","=""""",256,67,10,"*"
"Windsor Locks School District","=""1650011""",256,67,10,"*"
"Windsor School District","=""1640011""",882,221,"*",45
"Wolcott School District","=""1660011""",231,54,"*",0
"Woodbridge School District","=""1670011""",0,"*",0,0
"Woodstock Academy District","=""9030022""",99,15,8,0
"Woodstock School District","=""1690011""",14,8,0,0

