"Sanction Counts, 2019-20"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Bridgeport Academy District","=""2850013""",27,134,"*",46
"Achievement First Hartford Academy District","=""2880013""",148,48,"*","*"
"Amistad Academy District","=""2790013""",12,151,"*","*"
"Andover School District","=""0010011""",6,0,0,0
"Ansonia School District","=""0020011""",272,113,11,0
"Ansonia School District","=""3480015""",272,113,11,0
"Area Cooperative Educational Services","=""2440014""",159,315,0,6
"Ashford School District","=""0030011""",12,0,0,"*"
"Avon School District","=""0040011""",36,31,0,"*"
"Barkhamsted School District","=""0050011""",0,"*",0,0
"Berlin School District","=""0070011""",107,20,"*","*"
"Bethany School District","=""0080011""",6,"*",0,"*"
"Bethel School District","=""0090011""",179,24,"*",17
"Bloomfield School District","=""0110011""",205,221,9,"*"
"Bolton School District","=""0120011""",9,"*",0,0
"Booker T. Washington Academy District","=""2950013""","*",8,0,"*"
"Bozrah School District","=""0130011""",6,"*",0,0
"Branford School District","=""0140011""",125,68,"*","*"
"Brass City Charter School District","=""2900013""",9,15,0,"*"
"Bridgeport School District","=""0150011""",1936,1818,49,"*"
"Bristol School District","=""0170011""",562,448,32,18
"Brookfield School District","=""0180011""",105,39,0,0
"Brooklyn School District","=""0190011""",32,7,0,"*"
"Canaan School District","=""0210011""",0,0,0,0
"Canterbury School District","=""0220011""",7,0,0,"*"
"Canton School District","=""0230011""",20,10,0,0
"Capital Preparatory Harbor School District","=""2970013""",0,91,0,"*"
"Capitol Region Education Council","=""2410014""",738,412,"*",10
"Chaplin School District","=""0240011""",0,0,0,0
"Cheshire School District","=""0250011""",83,27,0,16
"Chester School District","=""0260011""","*",0,0,0
"Clinton School District","=""0270011""",89,52,"*",0
"Colchester School District","=""0280011""",147,69,"*","*"
"Colebrook School District","=""0290011""","*","*",0,0
"Columbia School District","=""0300011""",8,"*",0,0
"Common Ground High School District","=""2680013""","*",15,"*",0
"Connecticut Technical Education and Career System","=""9000016""",1418,503,23,0
"Cooperative Educational Services","=""2430014""","*",58,0,"*"
"Cornwall School District","=""0310011""","*",0,0,0
"Coventry School District","=""0320011""",37,19,"*","*"
"Cromwell School District","=""0330011""",131,31,0,"*"
"Danbury School District","=""0340011""",709,462,10,"*"
"Darien School District","=""0350011""",46,"*",0,0
"Deep River School District","=""0360011""",0,0,0,"*"
"Derby School District","=""0370011""",132,160,9,"*"
"East Granby School District","=""0400011""",32,12,0,"*"
"East Haddam School District","=""0410011""",17,6,0,0
"East Hampton School District","=""0420011""",61,30,0,0
"East Hartford School District","=""0430011""",1076,605,"*",8
"East Haven School District","=""0440011""",116,153,"*",0
"East Lyme School District","=""0450011""",99,31,"*","*"
"East Windsor School District","=""0470011""",92,48,"*",17
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",42,45,0,"*"
"Eastford School District","=""0390011""","*",0,0,0
"Easton School District","=""0460011""","*",0,0,"*"
"EdAdvance","=""2420014""",21,50,0,"*"
"Ellington School District","=""0480011""",110,72,"*","*"
"Elm City College Preparatory School District","=""2890013""",104,128,"*",27
"Elm City Montessori School District","=""2910013""",0,"*",0,0
"Enfield School District","=""0490011""",760,304,"*",12
"Essex School District","=""0500011""","*",0,0,0
"Explorations District","=""2720013""",18,14,0,0
"Fairfield School District","=""0510011""",195,24,0,"*"
"Farmington School District","=""0520011""",45,25,0,8
"Franklin School District","=""0530011""",0,"*",0,0
"Glastonbury School District","=""0540011""",171,29,0,"*"
"Granby School District","=""0560011""",49,15,"*","*"
"Great Oaks Charter School District","=""2940013""",38,77,0,0
"Greenwich School District","=""0570011""",117,54,0,"*"
"Griswold School District","=""0580011""",93,63,"*",0
"Groton School District","=""0590011""",302,157,8,"*"
"Guilford School District","=""0600011""",74,30,"*","*"
"Hamden School District","=""0620011""",341,247,6,0
"Hampton School District","=""0630011""","*",0,0,0
"Hartford School District","=""0640010""",2368,2109,43,45
"Hartford School District","=""0640011""",2368,2109,43,45
"Hartland School District","=""0650011""","*","*",0,0
"Hebron School District","=""0670011""",9,0,0,0
"Highville Charter School District","=""2860013""",39,40,0,0
"Integrated Day Charter School District","=""2640013""","*",6,0,0
"Interdistrict School for Arts and Comm District","=""2650013""",26,26,"*",0
"Jumoke Academy District","=""2610013""",33,24,0,"*"
"Kent School District","=""0680011""","*",0,0,0
"Killingly School District","=""0690011""",491,65,"*",7
"Learn","=""2450014""",89,136,0,8
"Lebanon School District","=""0710011""",46,42,"*",0
"Ledyard School District","=""0720011""",66,41,0,0
"Lisbon School District","=""0730011""",20,12,"*","*"
"Litchfield School District","=""0740011""",16,"*",0,"*"
"Madison School District","=""0760011""",46,7,"*",0
"Manchester School District","=""0770011""",746,368,"*",11
"Mansfield School District","=""0780011""",21,9,0,0
"Marlborough School District","=""0790011""","*",9,0,0
"Meriden School District","=""0800011""",54,634,"*",0
"Middletown School District","=""0830011""",311,158,"*","*"
"Milford School District","=""0840011""",293,74,"*","*"
"Monroe School District","=""0850011""",32,18,0,0
"Montville School District","=""0860011""",102,78,"*",15
"Naugatuck School District","=""0880011""",388,215,"*","*"
"New Beginnings Inc Family Academy District","=""2800013""",0,10,0,10
"New Britain School District","=""0890011""",1381,1078,11,8
"New Canaan School District","=""0900011""",34,"*",0,0
"New Fairfield School District","=""0910011""",60,20,"*",0
"New Hartford School District","=""0920011""","*","*",0,0
"New Haven School District","=""0930011""",327,1126,0,32
"New London School District","=""0950011""",300,153,"*","*"
"New Milford School District","=""0960011""",258,95,11,8
"Newington School District","=""0940011""",161,54,9,0
"Newtown School District","=""0970011""",87,18,"*","*"
"North Branford School District","=""0990011""",86,42,0,0
"North Canaan School District","=""1000011""",0,0,"*",0
"North Haven School District","=""1010011""",61,54,0,0
"North Stonington School District","=""1020011""",21,"*","*",0
"Norwalk School District","=""1030011""",385,296,23,9
"Norwich Free Academy District","=""9010022""",233,183,40,0
"Norwich School District","=""1040011""",192,127,"*",8
"Odyssey Community School District","=""2630013""",0,"*",0,0
"Old Saybrook School District","=""1060011""",7,9,0,0
"Orange School District","=""1070011""",6,"*",0,0
"Oxford School District","=""1080011""",17,12,"*",0
"Park City Prep Charter School District","=""2830013""",10,8,0,0
"Plainfield School District","=""1090011""",147,106,0,13
"Plainville School District","=""1100011""",85,33,"*",0
"Plymouth School District","=""1110011""",153,32,0,0
"Pomfret School District","=""1120011""","*",0,0,0
"Portland School District","=""1130011""",41,48,0,"*"
"Putnam School District","=""1160011""",48,26,0,0
"Redding School District","=""1170011""",19,0,0,0
"Regional School District 01","=""2010012""",27,25,0,0
"Regional School District 04","=""2040012""",28,9,0,0
"Regional School District 05","=""2050012""",55,"*",0,0
"Regional School District 06","=""2060012""",34,14,0,0
"Regional School District 07","=""2070012""",18,14,0,"*"
"Regional School District 08","=""2080012""",57,11,0,0
"Regional School District 09","=""2090012""",14,"*",0,0
"Regional School District 10","=""2100012""",32,17,0,"*"
"Regional School District 11","=""2110012""",14,"*",0,0
"Regional School District 12","=""2120012""","*",6,"*",0
"Regional School District 13","=""2130012""",52,16,0,"*"
"Regional School District 14","=""2140012""",22,23,"*",0
"Regional School District 15","=""2150012""",131,33,"*",0
"Regional School District 16","=""2160012""",67,25,0,"*"
"Regional School District 17","=""2170012""",69,20,0,0
"Regional School District 18","=""2180012""",30,13,0,0
"Regional School District 19","=""2190012""",16,21,0,"*"
"Ridgefield School District","=""1180011""",44,"*",0,"*"
"Rocky Hill School District","=""1190011""",109,8,"*","*"
"Salem School District","=""1210011""","*","*",0,"*"
"Salisbury School District","=""1220011""","*",0,0,0
"Seymour School District","=""1240011""",162,90,0,"*"
"Sharon School District","=""1250011""",0,0,0,"*"
"Shelton School District","=""1260011""",340,116,0,13
"Sherman School District","=""1270011""","*","*",0,0
"Side By Side Charter School District","=""2700013""","*",7,0,"*"
"Simsbury School District","=""1280011""",78,6,0,0
"Somers School District","=""1290011""",51,14,0,0
"South Windsor School District","=""1320011""",106,55,"*","*"
"Southington School District","=""1310011""",150,122,"*","*"
"Sprague School District","=""1330011""",18,"*",0,0
"Stafford School District","=""1340011""",137,27,"*","*"
"Stamford Academy District","=""2820013""",0,"*",0,0
"Stamford Charter School for Excellence District","=""2960013""",0,"*",0,0
"Stamford School District","=""1350011""",125,625,12,10
"Sterling School District","=""1360011""",6,52,0,"*"
"Stonington School District","=""1370011""",105,31,"*","*"
"Stratford School District","=""1380011""",688,34,0,11
"Suffield School District","=""1390011""",93,18,"*",6
"The Bridge Academy District","=""2690013""",0,"*","*",0
"The Gilbert School District","=""9020022""",88,43,0,0
"The Woodstock Academy District","=""9030022""",57,14,"*",0
"Thomaston School District","=""1400011""",45,17,0,"*"
"Thompson School District","=""1410011""",13,62,0,"*"
"Tolland School District","=""1420011""",64,6,0,0
"Torrington School District","=""1430011""",306,160,7,"*"
"Trumbull School District","=""1440011""",64,28,0,"*"
"Vernon School District","=""1460011""",371,180,0,"*"
"Wallingford School District","=""1480011""",338,113,"*",9
"Waterbury School District","=""1510011""",2539,3018,"*",32
"Waterford School District","=""1520011""",118,9,0,"*"
"Watertown School District","=""1530011""",189,25,"*","*"
"West Hartford School District","=""1550011""",393,135,0,14
"West Haven School District","=""1560011""",609,353,17,51
"Westbrook School District","=""1540011""","*",6,"*",0
"Weston School District","=""1570011""",32,"*",0,"*"
"Westport School District","=""1580011""",51,14,0,11
"Wethersfield School District","=""1590011""",107,58,"*",0
"Willington School District","=""1600011""",10,0,0,"*"
"Wilton School District","=""1610011""",21,"*",0,"*"
"Winchester School District","=""1620011""",9,8,0,15
"Windham School District","=""1630011""",659,303,"*",10
"Windsor Locks School District","=""1650011""",86,48,0,0
"Windsor School District","=""1640011""",499,270,9,"*"
"Wolcott School District","=""1660011""",105,34,0,"*"
"Woodbridge School District","=""1670011""",7,6,0,0
"Woodstock School District","=""1690011""","*",0,0,0

