"Sanction Counts, 2012-13"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",1280,1678,"*","*"
"Amistad Academy District","=""2790013""",1507,205,"*","*"
"Andover School District","=""0010011""",0,"*",0,0
"Ansonia School District","=""""",394,245,9,0
"Ansonia School District","=""0020011""",394,245,9,0
"Area Cooperative Educational Services","=""2440014""",300,269,0,14
"Ashford School District","=""0030011""",30,6,0,"*"
"Avon School District","=""0040011""",91,23,0,"*"
"Barkhamsted School District","=""0050011""","*",0,0,0
"Berlin School District","=""0070011""",251,51,"*","*"
"Bethany School District","=""0080011""","*","*",0,0
"Bethel School District","=""0090011""",493,41,10,13
"Bloomfield School District","=""""",354,233,11,8
"Bloomfield School District","=""0110011""",354,233,11,8
"Bolton School District","=""0120011""",15,25,"*",0
"Bozrah School District","=""0130011""",6,"*",0,"*"
"Branford School District","=""0140011""",283,83,0,"*"
"Bridgeport Achievement First District","=""2850013""",156,205,"*",0
"Bridgeport School District","=""0150011""",5329,4181,51,59
"Bristol School District","=""0170011""",1212,542,16,36
"Brookfield School District","=""0180011""",101,19,0,"*"
"Brooklyn School District","=""0190011""",80,"*",0,29
"Canaan School District","=""0210011""","*",0,0,0
"Canterbury School District","=""0220011""",22,6,"*","*"
"Canton School District","=""0230011""",42,8,0,0
"Capitol Region Education Council","=""2410014""",1641,127,0,7
"Chaplin School District","=""0240011""","*",0,0,0
"Cheshire School District","=""0250011""",148,89,"*",12
"Chester School District","=""0260011""",0,"*",0,"*"
"Clinton School District","=""0270011""",226,70,"*",0
"Colchester School District","=""0280011""",277,66,"*",11
"Colebrook School District","=""0290011""","*","*",0,0
"Columbia School District","=""0300011""","*","*",0,0
"Common Ground High School District","=""2680013""","*","*","*",0
"Connecticut Technical High School System","=""9000016""",2814,824,81,"*"
"Cooperative Educational Services","=""2430014""",12,90,0,"*"
"Coventry School District","=""0320011""",114,28,8,7
"Cromwell School District","=""""",327,73,"*","*"
"Cromwell School District","=""0330011""",327,73,"*","*"
"Danbury School District","=""0340011""",2280,556,0,"*"
"Darien School District","=""0350011""",40,"*",0,0
"Deep River School District","=""0360011""","*","*",0,"*"
"Derby School District","=""0370011""",271,163,13,9
"East Granby School District","=""0400011""",34,11,0,0
"East Hampton School District","=""0420011""",79,17,0,0
"East Hartford School District","=""0430011""",2282,1343,23,42
"East Haven School District","=""0440011""",521,168,"*","*"
"East Lyme School District","=""0450011""",118,26,0,9
"East Windsor School District","=""0470011""",243,92,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",30,44,0,"*"
"Eastford School District","=""0390011""","*","*",0,0
"Easton School District","=""0460011""","*","*",0,0
"Education Connection","=""2420014""","*",10,0,0
"Ellington School District","=""0480011""",232,57,"*","*"
"Elm City College Preparatory School District","=""2890013""",230,398,"*","*"
"Enfield School District","=""0490011""",981,313,24,26
"Essex School District","=""0500011""",6,"*",0,0
"Explorations District","=""2720013""",19,11,0,0
"Fairfield School District","=""""",328,62,0,"*"
"Fairfield School District","=""0510011""",328,62,0,"*"
"Farmington School District","=""0520011""",49,54,0,7
"Franklin School District","=""0530011""","*",0,0,0
"Glastonbury School District","=""0540011""",129,44,6,"*"
"Granby School District","=""0560011""",52,12,"*",11
"Greenwich School District","=""0570011""",208,70,7,"*"
"Griswold School District","=""""",309,102,"*",0
"Griswold School District","=""0580011""",309,102,"*",0
"Groton School District","=""0590011""",479,267,17,9
"Guilford School District","=""""",127,54,"*","*"
"Guilford School District","=""0600011""",127,54,"*","*"
"Hamden School District","=""0620011""",1078,520,18,29
"Hartford School District","=""0640011""",3945,5793,105,122
"Hartland School District","=""0650011""","*",0,0,0
"Hebron School District","=""0670011""",0,"*",0,0
"Highville Charter School District","=""2860013""",0,"*","*",0
"Integrated Day Charter School District","=""2640013""",9,7,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""",37,19,0,0
"Jumoke Academy District","=""2610013""",65,14,0,0
