"Sanction Counts, 2018-19"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Bridgeport Academy District","=""2850013""",56,234,0,50
"Achievement First Hartford Academy District","=""2880013""",176,53,0,"*"
"Amistad Academy District","=""2790013""",98,252,"*",14
"Andover School District","=""0010011""",10,"*",0,0
"Ansonia School District","=""0020011""",504,306,12,0
"Area Cooperative Educational Services","=""2440014""",181,449,"*","*"
"Ashford School District","=""0030011""",10,"*",0,0
"Avon School District","=""0040011""",81,32,"*",7
"Barkhamsted School District","=""0050011""","*",0,0,0
"Berlin School District","=""0070011""",261,48,"*","*"
"Bethany School District","=""0080011""",6,9,0,8
"Bethel School District","=""0090011""",301,35,6,11
"Bloomfield School District","=""0110011""",278,285,12,"*"
"Bolton School District","=""0120011""",25,17,"*",0
"Booker T. Washington Academy District","=""2950013""","*","*",0,"*"
"Bozrah School District","=""0130011""","*","*",0,0
"Branford School District","=""0140011""",276,132,0,"*"
"Brass City Charter School District","=""2900013""","*",15,0,0
"Bridgeport School District","=""0150011""",3298,2810,41,10
"Bristol School District","=""0170011""",1015,626,35,33
"Brookfield School District","=""0180011""",117,28,0,"*"
"Brooklyn School District","=""0190011""",20,16,0,8
"Canaan School District","=""0210011""",0,0,0,"*"
"Canterbury School District","=""0220011""","*","*",0,0
"Canton School District","=""0230011""",39,22,0,0
"Capital Preparatory Harbor School District","=""2970013""",0,114,0,22
"Capitol Region Education Council","=""2410014""",1155,460,"*",472
"Cheshire School District","=""0250011""",127,46,0,19
"Chester School District","=""0260011""","*","*",0,0
"Clinton School District","=""0270011""",87,31,"*","*"
"Colchester School District","=""0280011""",188,99,"*",15
"Colebrook School District","=""0290011""",0,"*",0,0
"Columbia School District","=""0300011""",11,"*",0,0
"Common Ground High School District","=""2680013""","*",15,"*",0
"Connecticut Technical Education and Career System","=""9000016""",1953,753,62,0
"Cooperative Educational Services","=""2430014""","*",51,0,0
"Cornwall School District","=""0310011""","*",0,0,0
"Coventry School District","=""0320011""",68,44,"*","*"
"Cromwell School District","=""0330011""",220,49,0,19
"Danbury School District","=""0340011""",1105,685,"*","*"
"Darien School District","=""0350011""",60,8,0,0
"Deep River School District","=""0360011""",6,0,0,0
"Derby School District","=""0370011""",177,197,10,"*"
"East Granby School District","=""0400011""",45,32,"*","*"
"East Haddam School District","=""0410011""",41,11,"*",0
"East Hampton School District","=""0420011""",132,31,0,"*"
"East Hartford School District","=""0430011""",2057,1144,11,6
"East Haven School District","=""0440011""",226,138,0,"*"
"East Lyme School District","=""0450011""",159,25,"*","*"
"East Windsor School District","=""0470011""",154,62,7,16
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",29,43,0,"*"
"Eastford School District","=""0390011""","*",0,0,6
"Easton School District","=""0460011""","*",0,0,0
"EdAdvance","=""2420014""",41,106,0,0
"Ellington School District","=""0480011""",236,83,8,"*"
"Elm City College Preparatory School District","=""2890013""",173,193,"*",30
"Elm City Montessori School District","=""2910013""","*","*",0,0
"Enfield School District","=""0490011""",901,477,6,19
"Explorations District","=""2720013""",13,8,0,0
"Fairfield School District","=""0510011""",259,30,"*","*"
"Farmington School District","=""0520011""",61,51,"*",17
"Franklin School District","=""0530011""",6,0,0,0
"Glastonbury School District","=""0540011""",281,49,"*","*"
"Granby School District","=""0560011""",45,12,"*",0
"Great Oaks Charter School District","=""2940013""",19,110,0,0
"Greenwich School District","=""0570011""",129,65,"*","*"
"Griswold School District","=""0580011""",151,100,"*",0
"Groton School District","=""0590011""",649,245,7,"*"
"Guilford School District","=""0600011""",69,29,0,0
"Hamden School District","=""0620011""",617,412,"*",13
"Hampton School District","=""0630011""",0,0,0,0
"Hartford School District","=""0640010""",2971,2658,80,71
"Hartford School District","=""0640011""",2971,2658,80,71
"Hartland School District","=""0650011""","*","*",0,0
"Hebron School District","=""0670011""",13,"*","*","*"
"Highville Charter School District","=""2860013""",51,54,0,0
"Integrated Day Charter School District","=""2640013""",14,"*",0,0
"Interdistrict School for Arts and Comm District","=""2650013""",50,31,"*","*"
"Jumoke Academy District","=""2610013""",60,81,0,10
"Kent School District","=""0680011""","*","*",0,0
"Killingly School District","=""0690011""",578,100,"*",16
"Learn","=""2450014""",248,177,0,10
"Lebanon School District","=""0710011""",117,68,"*",0
"Ledyard School District","=""0720011""",154,73,0,"*"
"Lisbon School District","=""0730011""",56,31,0,"*"
"Litchfield School District","=""0740011""",56,11,0,"*"
"Madison School District","=""0760011""",48,9,0,"*"
"Manchester School District","=""0770011""",1320,712,15,12
"Mansfield School District","=""0780011""",43,7,0,0
"Marlborough School District","=""0790011""","*","*",0,0
"Meriden School District","=""0800011""",166,667,0,0
"Middletown School District","=""0830011""",555,321,6,"*"
"Milford School District","=""0840011""",445,99,12,0
"Monroe School District","=""0850011""",71,17,0,0
"Montville School District","=""0860011""",184,88,"*",27
"Naugatuck School District","=""0880011""",601,323,11,13
"New Beginnings Inc Family Academy District","=""2800013""",0,6,0,"*"
