"Sanction Counts, 2014-15"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",287,759,"*",42
"Amistad Academy District","=""2790013""",835,472,"*",26
"Andover School District","=""0010011""","*","*",0,0
"Ansonia School District","=""""",98,190,14,0
"Ansonia School District","=""0020011""",98,190,14,0
"Area Cooperative Educational Services","=""2440014""",286,281,0,45
"Ashford School District","=""0030011""",26,"*",0,6
"Avon School District","=""0040011""",63,23,"*","*"
"Barkhamsted School District","=""""",6,"*",0,0
"Barkhamsted School District","=""0050011""",6,"*",0,0
"Berlin School District","=""""",159,30,"*","*"
"Berlin School District","=""0070011""",159,30,"*","*"
"Bethany School District","=""0080011""","*","*",0,"*"
"Bethel School District","=""""",430,29,6,7
"Bethel School District","=""0090011""",430,29,6,7
"Bloomfield School District","=""0110011""",296,229,10,6
"Bolton School District","=""0120011""",52,29,"*","*"
"Booker T. Washington Academy District","=""2950013""",48,26,0,"*"
"Bozrah School District","=""0130011""","*","*",0,"*"
"Branford School District","=""0140011""",288,110,0,"*"
"Brass City Charter School District","=""2900013""","*",16,0,0
"Bridgeport Achievement First District","=""2850013""",1123,518,"*",47
"Bridgeport School District","=""0150011""",4536,3937,44,19
"Bristol School District","=""0170011""",1032,503,13,52
"Brookfield School District","=""""",83,44,"*","*"
"Brookfield School District","=""0180011""",83,44,"*","*"
"Brooklyn School District","=""0190011""",71,11,0,11
"Canaan School District","=""0210011""",0,0,0,0
"Canterbury School District","=""0220011""",17,"*",0,"*"
"Canton School District","=""0230011""",21,10,0,0
"Capitol Region Education Council","=""2410014""",1350,467,0,17
"Cheshire School District","=""""",134,95,"*",10
"Cheshire School District","=""0250011""",134,95,"*",10
"Chester School District","=""0260011""","*",0,0,0
"Clinton School District","=""""",145,57,"*","*"
"Clinton School District","=""0270011""",145,57,"*","*"
"Colchester School District","=""0280011""",200,55,"*","*"
"Colebrook School District","=""0290011""","*",0,0,0
"Columbia School District","=""0300011""",36,8,0,"*"
"Common Ground High School District","=""2680013""",9,10,0,0
"Connecticut Technical High School System","=""9000016""",2002,824,77,0
"Cooperative Educational Services","=""2430014""",20,66,0,"*"
"Cornwall School District","=""0310011""","*",0,0,0
"Coventry School District","=""0320011""",76,30,"*","*"
"Cromwell School District","=""0330011""",215,63,0,16
"Danbury School District","=""0340011""",2246,669,0,14
"Darien School District","=""0350011""",54,11,"*",0
"Deep River School District","=""0360011""",7,0,0,"*"
"Derby School District","=""0370011""",306,153,18,"*"
"East Granby School District","=""0400011""",49,12,0,0
"East Haddam School District","=""0410011""",25,"*","*",0
"East Hampton School District","=""0420011""",70,18,0,0
"East Hartford School District","=""0430011""",2345,1632,29,40
"East Haven School District","=""0440011""",213,164,"*","*"
"East Lyme School District","=""0450011""",149,48,"*",10
"East Windsor School District","=""0470011""",106,47,"*","*"
