"Sanction Counts, 2015-16"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",1225,338,11,37
"Amistad Academy District","=""2790013""",492,366,8,8
"Andover School District","=""0010011""","*",0,0,0
"Ansonia School District","=""""",107,253,8,0
"Ansonia School District","=""0020011""",107,253,8,0
"Area Cooperative Educational Services","=""2440014""",170,330,0,18
"Ashford School District","=""0030011""",12,"*",0,"*"
"Avon School District","=""0040011""",68,32,"*","*"
"Berlin School District","=""""",133,14,"*",0
"Berlin School District","=""0070011""",133,14,"*",0
"Bethany School District","=""0080011""","*","*",0,0
"Bethel School District","=""0090011""",408,37,8,6
"Bloomfield School District","=""0110011""",331,226,13,"*"
"Bolton School District","=""0120011""",57,10,0,"*"
"Booker T. Washington Academy District","=""2950013""",50,"*",0,6
"Bozrah School District","=""0130011""","*","*",0,"*"
"Branford School District","=""0140011""",250,114,"*","*"
"Brass City Charter School District","=""2900013""","*",9,0,0
"Bridgeport Achievement First District","=""2850013""",504,285,9,70
"Bridgeport School District","=""0150011""",5085,3393,76,16
"Bristol School District","=""0170011""",998,484,13,52
"Brookfield School District","=""0180011""",75,41,0,0
"Brooklyn School District","=""0190011""",74,20,0,57
"Canaan School District","=""0210011""",0,"*",0,0
"Canterbury School District","=""0220011""",0,11,0,"*"
"Canton School District","=""0230011""",53,23,0,0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,93,"*",0
"Capitol Region Education Council","=""2410014""",1684,415,"*",31
"Chaplin School District","=""0240011""","*",0,0,0
"Cheshire School District","=""0250011""",174,95,"*",31
"Clinton School District","=""""",82,38,"*","*"
"Clinton School District","=""0270011""",82,38,"*","*"
"Colchester School District","=""0280011""",117,38,"*","*"
"Colebrook School District","=""0290011""","*",0,0,0
"Columbia School District","=""0300011""",14,0,0,0
"Common Ground High School District","=""2680013""","*",13,"*",0
"Connecticut Technical High School System","=""9000016""",1684,807,60,6
"Cooperative Educational Services","=""2430014""","*",82,0,0
"Cornwall School District","=""0310011""",9,0,0,0
"Coventry School District","=""0320011""",39,31,"*","*"
"Cromwell School District","=""0330011""",185,63,0,16
"Danbury School District","=""0340011""",1504,490,"*",6
"Darien School District","=""0350011""",39,8,"*",0
"Deep River School District","=""0360011""",10,"*",0,"*"
"Derby School District","=""0370011""",148,123,17,"*"
"East Granby School District","=""0400011""",57,40,0,0
"East Haddam School District","=""0410011""",24,11,0,0
"East Hampton School District","=""0420011""",101,14,0,"*"
"East Hartford School District","=""0430011""",1943,736,13,41
"East Haven School District","=""""",321,275,"*","*"
"East Haven School District","=""0440011""",321,275,"*","*"
"East Lyme School District","=""""",132,34,9,6
"East Lyme School District","=""0450011""",132,34,9,6
"East Windsor School District","=""0470011""",133,59,"*",32
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",36,59,0,0
"Eastford School District","=""0390011""","*","*",0,"*"
"Easton School District","=""0460011""",15,0,0,0
"Education Connection","=""2420014""",12,45,0,0
"Ellington School District","=""0480011""",209,48,7,11
"Elm City College Preparatory School District","=""2890013""",158,185,"*",25
"Enfield School District","=""""",714,289,14,0
"Enfield School District","=""0490011""",714,289,14,0
"Explorations District","=""2720013""",12,16,0,0
