"Sanction Counts, 2016-17"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",1352,256,"*",62
"Amistad Academy District","=""2790013""",491,392,0,"*"
"Andover School District","=""0010011""","*",0,0,0
"Ansonia School District","=""0020011""",270,306,18,0
"Area Cooperative Educational Services","=""2440014""",178,371,"*",15
"Ashford School District","=""0030011""","*","*",0,0
"Avon School District","=""0040011""",56,30,"*",0
"Barkhamsted School District","=""0050011""","*","*",0,0
"Berlin School District","=""0070011""",142,33,0,0
"Bethany School District","=""0080011""",0,"*",0,0
"Bethel School District","=""0090011""",401,49,"*","*"
"Bloomfield School District","=""0110011""",243,229,8,"*"
"Bolton School District","=""0120011""",35,22,"*","*"
"Booker T. Washington Academy District","=""2950013""",24,9,0,"*"
"Bozrah School District","=""0130011""","*",0,0,"*"
"Branford School District","=""0140011""",242,93,"*","*"
"Brass City Charter School District","=""2900013""","*","*",0,0
"Bridgeport Achievement First District","=""2850013""",408,295,"*",19
"Bridgeport School District","=""0150011""",4731,3191,90,30
"Bristol School District","=""0170011""",862,464,"*",35
"Brookfield School District","=""0180011""",95,38,"*","*"
"Brooklyn School District","=""0190011""",60,"*",0,"*"
"Canaan School District","=""0210011""",0,"*",0,0
"Canterbury School District","=""0220011""","*",21,0,"*"
"Canton School District","=""0230011""",72,14,0,0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,142,0,0
"Capitol Region Education Council","=""2410014""",1381,485,0,30
"Chaplin School District","=""0240011""",6,"*",0,"*"
"Cheshire School District","=""0250011""",193,67,"*",18
"Chester School District","=""0260011""","*",0,0,0
"Clinton School District","=""0270011""",102,31,"*",0
"Colchester School District","=""0280011""",104,85,0,9
"Colebrook School District","=""0290011""","*",6,0,0
"Columbia School District","=""0300011""",26,"*",0,0
"Common Ground High School District","=""2680013""",7,16,"*","*"
"Connecticut Technical High School System","=""9000016""",1487,603,50,"*"
"Cooperative Educational Services","=""2430014""",9,51,0,0
"Cornwall School District","=""0310011""","*",0,0,0
"Coventry School District","=""0320011""",44,26,0,"*"
"Cromwell School District","=""0330011""",166,41,0,10
"Danbury School District","=""0340011""",1542,622,6,28
"Darien School District","=""0350011""",48,11,"*",0
"Deep River School District","=""0360011""",7,"*",0,0
"Derby School District","=""0370011""",137,145,11,"*"
"East Granby School District","=""0400011""",45,24,0,0
