"Sanction Counts, 2009-10"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",181,239,0,54
"Amistad Academy District","=""2790013""",130,126,"*",62
"Ansonia School District","=""""",748,174,11,0
"Ansonia School District","=""0020011""",748,174,11,0
"Area Cooperative Educational Services","=""2440014""",483,538,"*",23
"Ashford School District","=""0030011""",8,"*",0,7
"Avon School District","=""0040011""",80,32,"*",0
"Barkhamsted School District","=""0050011""","*",0,0,0
"Berlin School District","=""0070011""",680,69,"*",0
"Bethany School District","=""0080011""","*","*",0,0
"Bethel School District","=""0090011""",422,39,"*",8
"Bloomfield School District","=""0110011""",418,369,12,74
"Bolton School District","=""""",16,26,0,0
"Bolton School District","=""0120011""",16,26,0,0
"Bozrah School District","=""0130011""",0,"*",0,0
"Branford School District","=""""",385,125,"*",0
"Branford School District","=""0140011""",385,125,"*",0
"Bridgeport Achievement First District","=""2850013""",0,52,0,"*"
"Bridgeport School District","=""""",2355,6103,"*",12
"Bridgeport School District","=""0150011""",2355,6103,"*",12
"Bridgeport School District","=""1420011""",2355,6103,"*",12
"Bristol School District","=""0170011""",682,393,"*",20
"Brookfield School District","=""0180011""",64,15,0,0
"Brooklyn School District","=""0190011""",91,"*",0,25
"Canterbury School District","=""0220011""",18,24,0,0
"Canton School District","=""0230011""",35,16,"*",0
"Capitol Region Education Council","=""2410014""",964,175,8,39
"Chaplin School District","=""0240011""",0,0,0,0
"Cheshire School District","=""0250011""",283,94,0,18
"Chester School District","=""0260011""",0,"*",0,"*"
"Clinton School District","=""0270011""",255,58,0,"*"
"Colchester School District","=""""",329,62,"*",43
"Colchester School District","=""0280011""",329,62,"*",43
"Colebrook School District","=""0290011""",0,0,0,"*"
"Columbia School District","=""0300011""",16,"*",0,0
"Common Ground High School District","=""2680013""",18,7,0,0
"Connecticut Technical High School System","=""9000016""",4256,1073,65,0
"Cooperative Educational Services","=""2430014""",50,131,0,"*"
"Cornwall School District","=""0310011""",0,0,0,11
"Coventry School District","=""""",533,177,9,12
"Coventry School District","=""0320011""",533,177,9,12
"Cromwell School District","=""""",502,111,"*","*"
"Cromwell School District","=""0330011""",502,111,"*","*"
"Danbury School District","=""0340011""",2076,661,14,45
"Darien School District","=""0350011""",42,43,0,"*"
"Deep River School District","=""0360011""","*","*",0,0
"Derby School District","=""""",357,189,"*","*"
"Derby School District","=""0370011""",357,189,"*","*"
"East Granby School District","=""0400011""",54,14,0,0
"East Haddam School District","=""0410011""",31,45,0,0
"East Hampton School District","=""0420011""",137,73,0,0
"East Hartford School District","=""0430011""",3392,2129,44,"*"
"East Haven School District","=""""",697,348,"*",0
"East Haven School District","=""0440011""",697,348,"*",0
"East Lyme School District","=""""",136,32,"*","*"
"East Lyme School District","=""0450011""",136,32,"*","*"
"East Windsor School District","=""""",193,143,0,19
"East Windsor School District","=""0470011""",193,143,0,19
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",11,44,0,0
"Eastford School District","=""0390011""","*",0,0,0
"Easton School District","=""0460011""",14,0,0,0
"Education Connection","=""2420014""","*",8,"*",0
"Ellington School District","=""0480011""",287,44,0,"*"
"Elm City College Preparatory School District","=""2890013""",76,142,0,110
"Enfield School District","=""0490011""",367,544,17,"*"
"Essex School District","=""0500011""","*",0,0,0
"Explorations District","=""2720013""",10,6,0,0
"Fairfield School District","=""0510011""",427,95,6,0
"Farmington School District","=""0520011""",135,91,"*",0
"Franklin School District","=""0530011""",0,"*",0,0
"Glastonbury School District","=""""",57,182,9,0
"Glastonbury School District","=""0540011""",57,182,9,0
"Granby School District","=""0560011""",67,9,"*",0
"Greenwich School District","=""""",247,56,16,"*"
"Greenwich School District","=""0570011""",247,56,16,"*"
"Griswold School District","=""0580011""",395,157,"*","*"
"Groton School District","=""0590011""",503,257,29,7
"Guilford School District","=""""",83,79,6,0
"Guilford School District","=""0600011""",83,79,6,0
"Hamden School District","=""0620011""",1427,615,16,28
"Hampton School District","=""0630011""",10,"*",0,0
"Hartford School District","=""""",4228,7321,139,34
"Hartford School District","=""0640011""",4228,7321,139,34
"Hartland School District","=""0650011""","*",0,0,0
"Hebron School District","=""0670011""","*",0,0,"*"
"Integrated Day Charter School District","=""2640013""","*","*",0,0
