"Sanction Counts, 2010-11"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",120,629,0,0
"Amistad Academy District","=""2790013""",153,149,"*",0
"Andover School District","=""0010011""","*","*",0,0
"Ansonia School District","=""""",545,171,7,0
"Ansonia School District","=""0020011""",545,171,7,0
"Area Cooperative Educational Services","=""2440014""",319,341,"*",35
"Ashford School District","=""0030011""",15,"*",0,21
"Avon School District","=""0040011""",66,14,0,"*"
"Barkhamsted School District","=""0050011""",0,"*",0,0
"Berlin School District","=""0070011""",587,90,"*",0
"Bethany School District","=""0080011""",7,0,0,0
"Bethel School District","=""0090011""",355,32,0,13
"Bloomfield School District","=""""",322,273,10,55
"Bloomfield School District","=""0110011""",322,273,10,55
"Bolton School District","=""0120011""",28,26,0,0
"Bozrah School District","=""0130011""",0,0,0,7
"Branford School District","=""0140011""",368,126,13,0
"Bridgeport Achievement First District","=""2850013""",310,146,"*","*"
"Bridgeport School District","=""0150011""",6021,4337,69,39
"Bristol School District","=""""",1082,633,"*",50
"Bristol School District","=""0170011""",1082,633,"*",50
"Brookfield School District","=""0180011""",73,34,0,"*"
"Brooklyn School District","=""0190011""",81,6,0,36
"Canterbury School District","=""0220011""",27,"*",0,"*"
"Canton School District","=""0230011""",37,9,0,0
"Capitol Region Education Council","=""2410014""",1166,143,"*",17
"Chaplin School District","=""0240011""","*",0,0,0
"Cheshire School District","=""0250011""",150,86,0,18
"Chester School District","=""0260011""",0,"*",0,"*"
"Clinton School District","=""0270011""",224,55,"*",12
"Colchester School District","=""""",229,60,7,28
"Colchester School District","=""0280011""",229,60,7,28
"Colebrook School District","=""0290011""",0,"*",0,0
"Columbia School District","=""0300011""",14,0,0,0
"Common Ground High School District","=""2680013""",18,"*",0,0
"Connecticut Technical High School System","=""9000016""",3986,961,76,"*"
"Cooperative Educational Services","=""2430014""",72,76,0,"*"
"Cornwall School District","=""0310011""","*",0,0,"*"
"Coventry School District","=""0320011""",443,99,8,16
"Cromwell School District","=""""",542,69,"*",7
"Cromwell School District","=""0330011""",542,69,"*",7
"Danbury School District","=""""",2123,864,27,12
"Danbury School District","=""0340011""",2123,864,27,12
"Darien School District","=""""",61,16,0,0
"Darien School District","=""0350011""",61,16,0,0
"Deep River School District","=""0360011""",6,0,0,0
"Derby School District","=""0370011""",392,128,"*","*"
"East Granby School District","=""0400011""",31,19,0,"*"
"East Haddam School District","=""""",32,30,0,0
"East Haddam School District","=""0410011""",32,30,0,0
"East Hampton School District","=""0420011""",124,37,"*",0
"East Hartford School District","=""0430011""",3223,2136,37,64
"East Haven School District","=""0440011""",737,335,8,0
"East Lyme School District","=""""",141,34,"*","*"
"East Lyme School District","=""0450011""",141,34,"*","*"
"East Windsor School District","=""0470011""",273,124,0,6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",77,0,"*"
"Eastford School District","=""0390011""","*",0,0,0
"Easton School District","=""0460011""",10,"*",0,"*"
"Education Connection","=""2420014""","*","*",0,0
"Ellington School District","=""0480011""",300,57,7,14
"Elm City College Preparatory School District","=""2890013""",175,320,"*",0
"Enfield School District","=""0490011""",888,240,24,0
"Essex School District","=""0500011""","*",0,0,0
"Explorations District","=""2720013""",59,"*",0,0
"Fairfield School District","=""""",384,71,"*",0
"Fairfield School District","=""0510011""",384,71,"*",0
"Farmington School District","=""0520011""",85,76,"*",12
"Glastonbury School District","=""0540011""",133,39,"*",0
"Granby School District","=""0560011""",91,"*","*",0
"Greenwich School District","=""0570011""",332,59,6,"*"
"Griswold School District","=""0580011""",462,146,"*",0
"Groton School District","=""0590011""",586,224,26,"*"
"Guilford School District","=""""",108,79,"*",0
"Guilford School District","=""0600011""",108,79,"*",0
"Hamden School District","=""0620011""",1458,558,12,33
"Hampton School District","=""0630011""",8,"*",0,0
"Hartford School District","=""""",4163,4775,104,84
"Hartford School District","=""0640011""",4163,4775,104,84
"Hebron School District","=""0670011""","*",0,0,"*"
"Integrated Day Charter School District","=""2640013""",6,9,0,0
"Interdistrict School for Arts and Comm District","=""2650013""",37,"*",0,0
"Jumoke Academy District","=""2610013""",19,25,0,"*"
"Killingly School District","=""""",889,106,"*",18
"Killingly School District","=""0690011""",889,106,"*",18
"Learn","=""2450014""",17,30,0,"*"
"Lebanon School District","=""0710011""",126,26,"*",0
"Ledyard School District","=""0720011""",93,41,"*",0
"Lisbon School District","=""0730011""",25,"*",0,"*"
"Litchfield School District","=""0740011""",71,18,6,0
"Madison School District","=""0760011""",147,23,"*",0
"Manchester School District","=""""",1147,467,31,0
"Manchester School District","=""0770011""",1147,467,31,0
"Mansfield School District","=""0780011""",21,"*","*",0
"Marlborough School District","=""0790011""","*",7,0,"*"
"Meriden School District","=""0800011""",4144,1122,68,24
"Middletown School District","=""""",734,318,10,59
"Middletown School District","=""0830011""",734,318,10,59
"Milford School District","=""0840011""",197,164,"*",0
"Monroe School District","=""0850011""",93,16,10,"*"
"Montville School District","=""0860011""",476,151,"*",21
"Naugatuck School District","=""0880011""",1355,422,"*",6
"New Beginnings Inc., Family Academy District","=""2800013""",6,111,0,"*"
"New Britain School District","=""""",1026,1269,"*",7
"New Britain School District","=""0890011""",1026,1269,"*",7
"New Canaan School District","=""0900011""",50,10,0,0
"New Fairfield School District","=""""",260,39,"*",0
"New Fairfield School District","=""0910011""",260,39,"*",0
"New Hartford School District","=""0920011""","*","*",0,0
"New Haven School District","=""0930011""",696,2669,101,0
"New London School District","=""0950011""",935,721,31,7
"New Milford School District","=""0960011""",783,129,7,19
"Newington School District","=""0940011""",591,83,11,"*"
"Newtown School District","=""""",270,29,0,0
"Newtown School District","=""0970011""",270,29,0,0
"North Branford School District","=""0990011""",584,61,"*",0
"North Canaan School District","=""1000011""",12,0,0,"*"
"North Haven School District","=""""",107,173,8,10
"North Haven School District","=""1010011""",107,173,8,10
"North Stonington School District","=""1020011""",147,"*","*","*"
"Norwalk School District","=""""",1773,548,47,11
"Norwalk School District","=""1030011""",1773,548,47,11
"Norwich Free Academy District","=""9010022""",491,195,11,"*"
"Norwich School District","=""1040011""",630,284,7,21
"Odyssey Community School District","=""2630013""",6,9,0,0
"Old Saybrook School District","=""""",78,17,"*",6
"Old Saybrook School District","=""1060011""",78,17,"*",6
"Orange School District","=""1070011""",11,0,0,0
"Oxford School District","=""1080011""",29,32,0,0
"Park City Prep Charter School District","=""2830013""",79,31,0,0
"Plainfield School District","=""1090011""",306,117,"*",101
"Plainville School District","=""1100011""",188,57,"*","*"
"Plymouth School District","=""""",132,98,0,0
"Plymouth School District","=""1110011""",132,98,0,0
"Pomfret School District","=""1120011""",7,"*",0,0
"Portland School District","=""1130011""",59,36,"*",0
"Preston School District","=""1140011""",12,"*",0,7
"Putnam School District","=""""",252,111,"*",33
"Putnam School District","=""1160011""",252,111,"*",33
"Redding School District","=""1170011""",19,0,0,"*"
"Regional School District 01","=""2010012""",47,17,0,"*"
"Regional School District 04","=""2040012""",71,39,"*",0
"Regional School District 05","=""2050012""",278,73,0,0
"Regional School District 06","=""2060012""",130,29,"*",6
"Regional School District 07","=""2070012""",34,60,0,0
"Regional School District 08","=""2080012""",319,38,8,0
"Regional School District 09","=""2090012""",0,11,0,0
"Regional School District 10","=""2100012""",225,44,9,"*"
"Regional School District 11","=""2110012""",32,43,0,0
"Regional School District 12","=""2120012""",88,11,0,0
"Regional School District 13","=""2130012""",34,"*","*",0
"Regional School District 14","=""2140012""",105,43,"*",0
"Regional School District 15","=""2150012""",184,64,6,0
"Regional School District 16","=""2160012""",289,102,7,"*"
"Regional School District 17","=""2170012""",199,18,9,0
"Regional School District 18","=""2180012""",43,24,"*",0
"Regional School District 19","=""2190012""",159,94,"*",0
"Ridgefield School District","=""1180011""",68,46,"*",14
"Rocky Hill School District","=""""",170,40,0,0
"Rocky Hill School District","=""1190011""",170,40,0,0
"Salem School District","=""1210011""",14,"*",0,0
"Salisbury School District","=""1220011""",14,0,0,"*"
"Scotland School District","=""1230011""","*",0,0,0
"Seymour School District","=""""",522,126,9,"*"
"Seymour School District","=""1240011""",522,126,9,"*"
"Sharon School District","=""1250011""","*",0,0,"*"
"Shelton School District","=""1260011""",682,138,"*",0
"Sherman School District","=""1270011""",6,0,0,0
"Side By Side Charter School District","=""2700013""",17,16,0,"*"
"Simsbury School District","=""""",304,47,"*",0
"Simsbury School District","=""1280011""",304,47,"*",0
"Somers School District","=""""",100,26,0,0
"Somers School District","=""1290011""",100,26,0,0
"South Windsor School District","=""1320011""",382,125,"*","*"
"Southington School District","=""""",273,259,13,0
"Southington School District","=""1310011""",273,259,13,0
"Sprague School District","=""1330011""",32,6,"*",0
"Stafford School District","=""1340011""",496,76,"*","*"
"Stamford Academy District","=""2820013""",0,30,0,0
"Stamford School District","=""1350011""",377,581,35,0
"Sterling School District","=""1360011""",54,"*",0,"*"
"Stonington School District","=""1370011""",212,41,"*",20
"Stratford School District","=""""",1159,145,"*",74
"Stratford School District","=""1380011""",1159,145,"*",74
"Suffield School District","=""1390011""",250,45,"*","*"
"The Bridge Academy District","=""2690013""",56,123,"*",0
"The Gilbert School District","=""9020022""",75,38,"*",0
"Thomaston School District","=""1400011""",172,52,0,0
"Thompson School District","=""1410011""",194,90,"*",21
"Tolland School District","=""""",272,58,"*","*"
"Tolland School District","=""1420011""",272,58,"*","*"
"Torrington School District","=""""",681,347,"*","*"
"Torrington School District","=""1430011""",681,347,"*","*"
"Trailblazers Academy District","=""2780013""",7,"*",0,0
"Trumbull School District","=""""",72,92,17,0
"Trumbull School District","=""1440011""",72,92,17,0
"Unified School District #2","=""""",67,59,0,0
"Unified School District #2","=""3470015""",67,59,0,0
"Union School District","=""1450011""","*",0,0,"*"
"Vernon School District","=""""",1040,221,0,31
"Vernon School District","=""1460011""",1040,221,0,31
"Voluntown School District","=""1470011""","*",0,0,0
"Wallingford School District","=""1480011""",656,237,0,25
"Waterbury School District","=""1510011""",6806,7754,20,92
"Waterford School District","=""1520011""",405,56,"*",0
"Watertown School District","=""1530011""",489,353,7,10
"West Hartford School District","=""""",843,203,13,7
"West Hartford School District","=""1550011""",843,203,13,7
"West Haven School District","=""1560011""",1004,667,39,111
"Westbrook School District","=""1540011""",194,16,"*",0
"Weston School District","=""1570011""",21,9,0,0
"Westport School District","=""1580011""",134,26,"*","*"
"Wethersfield School District","=""""",213,64,0,0
"Wethersfield School District","=""1590011""",213,64,0,0
"Willington School District","=""1600011""",34,0,0,"*"
"Wilton School District","=""1610011""",57,40,0,"*"
"Winchester School District","=""1620011""",84,9,0,0
"Windham School District","=""""",1516,560,16,46
"Windham School District","=""1630011""",1516,560,16,46
"Windsor Locks School District","=""1650011""",233,61,7,6
"Windsor School District","=""""",1050,267,15,35
"Windsor School District","=""1640011""",1050,267,15,35
"Wolcott School District","=""1660011""",181,56,6,18
"Woodbridge School District","=""1670011""",0,"*",0,0
"Woodstock Academy District","=""9030022""",95,37,"*",0
"Woodstock School District","=""1690011""",12,"*",0,"*"

